LOTID5	PROCESS_ID_LX562150_PROCESS_ID_MAX	ET_TIME_LX562150_TKOUT_TIME_MAX	WAFER_ID	D120_M1_4b_ult_PD_Idsat	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Idsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Tox_inv	EGP_2/0.45_Vtsat	EGP_2/2_Vtlin	EGP_Tox_inv	HVN_AS_10/2.6x1_Vtsat	HVP_S_10/2x1_Vtsat	HVTN_0.21/0.03x7_Vtsat	HVTN_1/1_Vtlin	HVTN_Cov	HVTN_Covdd	HVTP_0.3/0.03x5_Vtsat	HVTP_1/1_Vtlin	HVTP_Cov	HVTP_Covdd	Leff_N	Leff_P	SGN_Tox_inv	SGP_Tox_inv	UMVN_10/10x1_Vtlin	UMVP_10/10x1_Vtlin	date	month	date_lot
S60NT	UXU3	03/07/2017 23:19	13							0.514	0.552	36.401	0.481	0.552	40.752	0.864	1.08	0.505	0.43	0.207	1.049	0.407	0.531	0.285	0.963	24.729	18.528	13.418	16.277	0.896	0.878	3	7	7/03_S60NT
S63F6	UXU6	03/07/2017 17:41	11							0.506	0.546	35.66		0.529	39.941			0.493	0.428	0.21		0.405	0.527	0.284				13.471	16.311	0.906	0.864	3	7	7/03_S63F6
S63F6	UXU6	03/07/2017 19:04	13							0.508	0.546	35.567	0.447	0.521	39.794	0.877	1.052	0.496	0.426	0.206	1.046	0.388	0.525	0.276	0.957	24.566	19.306	13.482	16.455	0.906	0.865	3	7	7/03_S63F6
S63PH	UXU6	03/07/2017 20:33	3							0.517	0.555	36.154		0.536	40.543			0.492	0.423	0.209		0.38	0.513	0.269				13.4535	16.4335	0.897	0.876	3	7	7/03_S63PH
S63PH	UXU6	03/07/2017 20:42	4																									13.462	16.356			3	7	7/03_S63PH
S63PH	UXU6	03/07/2017 20:52	5																									13.443	16.397			3	7	7/03_S63PH
S63PH	UXU6	03/07/2017 21:01	6																									13.44	16.236			3	7	7/03_S63PH
S63PH	UXU6	03/07/2017 21:10	7																									13.404	16.365			3	7	7/03_S63PH
S63PH	UXU6	03/07/2017 21:19	8																									13.445	16.402			3	7	7/03_S63PH
S63PH	UXU6	03/07/2017 22:42	13							0.532	0.557	35.707	0.461	0.536	40.305	0.869	1.064	0.505	0.425	0.208	1.04	0.401	0.527	0.277	0.958	24.306	19.091	13.448	16.229	0.902	0.876	3	7	7/03_S63PH
S63W1	UXU6	03/07/2017 18:48	5							0.507	0.547	36.086	0.465	0.534	40.348	0.876	1.054	0.481	0.415	0.208	1.053	0.387	0.521	0.264	0.954	24.612	20.242	13.343	16.2	0.892	0.878	3	7	7/03_S63W1
S63W1	UXU6	03/07/2017 20:12	13							0.516	0.55	36.324	0.464	0.536	40.5	0.881	1.063	0.493	0.417	0.207	1.039	0.4	0.524	0.269	0.957	24.136	19.785	13.388	16.093	0.894	0.88	3	7	7/03_S63W1
S63W1	UXU6	03/07/2017 20:40	14							0.507	0.544	35.928		0.535	40.135			0.481	0.411	0.215		0.393	0.521	0.275				13.394	16.109	0.892	0.88	3	7	7/03_S63W1
S6408	UXU6	03/07/2017 06:29	6							0.516	0.557	35.926		0.534	40.715			0.494	0.431	0.21		0.4	0.529	0.278				13.538	16.312	0.899	0.885	3	7	7/03_S6408
S6408	UXU6	03/07/2017 06:54	8							0.522	0.563	36.509		0.529	41.004			0.494	0.433	0.21		0.402	0.525	0.278				13.509	16.292	0.9	0.89	3	7	7/03_S6408
S6408	UXU6	03/07/2017 07:20	9							0.501	0.544	35.648		0.541	40.27			0.487	0.427	0.209		0.391	0.527	0.269				13.509	16.472	0.889	0.883	3	7	7/03_S6408
S6408	UXU6	03/07/2017 08:43	13							0.5	0.546	35.854	0.461	0.532	40.419	0.865	1.082	0.474	0.428	0.213	1.063	0.402	0.527	0.274	0.968	24.733	20.138	13.471	16.412	0.892	0.884	3	7	7/03_S6408
S6408	UXU6	03/07/2017 09:08	24							0.515	0.557	36.044		0.532	40.461			0.488	0.437	0.208		0.41	0.536	0.277				13.556	16.34	0.904	0.896	3	7	7/03_S6408
S609X	UXU3	04/07/2017 01:50	9							0.518	0.545	36.229		0.563	40.79			0.493	0.418	0.211		0.418	0.535	0.289				13.38	16.27	0.89	0.897	4	7	7/04_S609X
S609X	UXU3	04/07/2017 03:14	13							0.516	0.545	36.154	0.484	0.554	40.74	0.881	1.063	0.482	0.416	0.209	1.071	0.41	0.534	0.288	0.979	25.219	18.877	13.329	16.239	0.89	0.893	4	7	7/04_S609X
S65F5	UXU5	04/07/2017 20:31	11							0.508	0.553	35.546		0.529	39.983			0.469	0.413	0.213		0.372	0.513	0.284				13.347	16.141	0.918	0.885	4	7	7/04_S65F5
S65F5	UXU5	04/07/2017 21:55	13							0.514	0.558	36.249	0.464	0.535	40.602	0.928	1.041	0.474	0.415	0.214	1.045	0.372	0.52	0.283	0.975	24.068	19.134	13.391	16.152	0.921	0.888	4	7	7/04_S65F5
S65F6	UXU5	04/07/2017 22:20	7							0.518	0.547	35.511	0.453	0.523	39.853			0.471	0.401	0.215	1.084	0.372	0.507	0.278	0.994	25.02	20.353	13.332	16.156	0.926	0.884	4	7	7/04_S65F6
S65F6	UXU5	04/07/2017 22:46	9							0.514	0.546	35.554		0.518	40.03			0.468	0.402	0.215		0.361	0.494	0.276				13.292	16.216	0.927	0.887	4	7	7/04_S65F6
S5ZVX	UXU3	05/07/2017 03:32	13							0.517	0.544	35.512	0.459	0.532	39.966	0.894	1.053	0.476	0.413	0.203	1.055	0.4	0.505	0.282	0.97	24.562	18.894	13.129	16.036	0.898	0.88	5	7	7/05_S5ZVX
S5ZVX	UXU3	05/07/2017 03:57	20							0.522	0.552	35.888		0.539	40.177			0.485	0.427	0.209		0.411	0.526	0.286				13.385	16.195	0.909	0.895	5	7	7/05_S5ZVX
S609W	UXU3	05/07/2017 11:23	12							0.519	0.551	36.422		0.538	40.756			0.491	0.427	0.208		0.374	0.518	0.274				13.383	16.247	0.888	0.868	5	7	7/05_S609W
S609W	UXU3	05/07/2017 12:46	13							0.511	0.55	36.155	0.465	0.535	40.47	0.891	1.041	0.483	0.427	0.208	1.054	0.389	0.517	0.281	0.966	24.786	19.118	13.431	16.3	0.891	0.869	5	7	7/05_S609W
S60WG	UXU3	05/07/2017 03:56	5							0.516	0.55	36.115		0.541	40.129			0.501	0.432	0.207		0.385	0.526	0.286				13.366	16.189	0.905	0.877	5	7	7/05_S60WG
S60WG	UXU3	05/07/2017 05:20	13							0.511	0.545	36.15	0.476	0.546	40.59	0.893	1.072	0.5	0.429	0.203	1.042	0.4	0.524	0.28	0.959	24.609	18.88	13.354	16.199	0.896	0.877	5	7	7/05_S60WG
S63N9	UXU6	05/07/2017 21:24	7							0.517	0.553	35.952		0.536	40.513			0.481	0.423	0.213		0.389	0.517	0.277				13.343	16.275	0.87		5	7	7/05_S63N9
S63N9	UXU6	05/07/2017 22:48	13							0.518	0.555	35.978	0.466	0.54	40.368	0.865	1.034	0.485	0.424	0.21	1.054	0.4	0.525	0.278	0.972	24.531	19.543	13.382	16.283	0.87	0.859	5	7	7/05_S63N9
S63VZ	UXU6	05/07/2017 21:00	2							0.521	0.549	35.66	0.45	0.523	40.194	0.865	1.09	0.501	0.42	0.21	1.052	0.376	0.508	0.277	0.975	24.377	19.623	13.41	16.216	0.894	0.883	5	7	7/05_S63VZ
S6448	UXU6	05/07/2017 11:28	13							0.522	0.554	35.669	0.454	0.532	40.102	0.877	1.062	0.486	0.43	0.209	1.056	0.366	0.513	0.285	0.979	24.912	19.166	13.422	16.194	0.91	0.876	5	7	7/05_S6448
S6448	UXU6	05/07/2017 11:54	18							0.522	0.556	35.903		0.538	40.596			0.492	0.427	0.209		0.386	0.518	0.287				13.432	16.278	0.903	0.879	5	7	7/05_S6448
S65F6	UXU5	05/07/2017 00:08	13							0.518	0.551	35.657	0.436	0.506	39.875	0.909	1.045	0.464	0.404	0.222	1.076	0.354	0.496	0.286	0.98	24.048	19.07	13.308	16.248	0.932	0.883	5	7	7/05_S65F6
S65F8	UXU5	05/07/2017 00:53	13							0.514	0.552	35.439	0.458	0.53	39.715	0.907	1.053	0.48	0.417	0.215	1.063	0.398	0.523	0.286	0.972	24.086	18.634	13.325	16.185	0.928	0.885	5	7	7/05_S65F8
S65F8	UXU5	05/07/2017 01:18	21							0.524	0.557	36.217		0.528	40.172			0.484	0.415	0.221		0.391	0.499	0.282				13.343	16.188	0.92	0.886	5	7	7/05_S65F8
S61GH	UXU6	06/07/2017 16:31	8							0.519	0.55	35.987	0.46	0.54	40.322	0.889	1.082	0.489	0.424	0.213	1.072	0.386	0.531	0.282	0.98	24.993	19.427	13.416	16.243	0.897	0.894	6	7	7/06_S61GH
S61GH	UXU6	06/07/2017 22:43	9							0.513	0.558	35.918		0.531	40.108			0.495	0.425	0.206		0.385	0.53	0.29				13.368	16.169	0.907	0.887	6	7	7/06_S61GH
S63VZ	UXU6	06/07/2017 05:00	10							0.535	0.563	36.2		0.535	40.571			0.498	0.426	0.208		0.398	0.52	0.276				13.398	16.214	0.912	0.881	6	7	7/06_S63VZ
S63VZ	UXU6	06/07/2017 06:23	13							0.505	0.54	35.609	0.462	0.536	40.225	0.892	1.074	0.483	0.414	0.211	1.042	0.367	0.513	0.276	0.966	24.034	19.489	13.364	16.222	0.898	0.877	6	7	7/06_S63VZ
S6446	UXU6	06/07/2017 22:48	1							0.5185	0.552	36.177		0.541	40.795			0.495	0.422	0.209		0.405	0.525	0.273				13.355	16.118	0.914	0.885	6	7	7/06_S6446
S6446	UXU6	06/07/2017 22:54	11							0.514																						6	7	7/06_S6446
S5ZVU	UXU3	07/07/2017 17:52	5							0.51	0.543	36.089		0.548	40.622			0.487	0.423	0.206		0.392	0.522	0.277				13.406	16.239	0.905	0.872	7	7	7/07_S5ZVU
S5ZVU	UXU3	07/07/2017 19:04	10							0.516	0.556	36.457	0.475	0.544	41.01	0.866	1.053	0.485	0.43	0.213	1.07	0.396	0.527	0.284	0.965	25.033	18.824	13.414	16.279	0.909	0.87	7	7	7/07_S5ZVU
S5ZVU	UXU3	07/07/2017 19:16	13							0.51	0.545	36.449	0.48	0.548	41.059	0.878	1.059	0.484	0.418	0.21	1.054	0.383	0.523	0.274	0.961	24.66	19.414	13.389	16.259	0.906	0.87	7	7	7/07_S5ZVU
S61GH	UXU6	07/07/2017 00:08	13							0.522	0.555	36.156	0.463	0.538	40.59	0.886	1.087	0.496	0.433	0.21	1.067	0.402	0.528	0.277	0.968	25.142	19.582	13.442	16.281	0.898	0.887	7	7	7/07_S61GH
S63AZ	UXU6	07/07/2017 09:22	12							0.505	0.553	35.986		0.539	40.383			0.482	0.411	0.211		0.392	0.528	0.277				13.405	16.104	0.899	0.872	7	7	7/07_S63AZ
S63AZ	UXU6	07/07/2017 10:46	13							0.504	0.542	35.808	0.464	0.537	40.173	0.875	1.068	0.467	0.401	0.216	1.049	0.38	0.519	0.275	0.967	23.888	19.311	13.395	16.101	0.89	0.872	7	7	7/07_S63AZ
S6446	UXU6	07/07/2017 00:19	13							0.513	0.548	36.348	0.464	0.537	40.465	0.866	1.07	0.495	0.423	0.208	1.079	0.405	0.52	0.27	0.985	25.407	20.686	13.356	16.19	0.907	0.875	7	7	7/07_S6446
S6446	UXU6	07/07/2017 00:25	19							0.518																						7	7	7/07_S6446
S6446	UXU6	07/07/2017 00:31	24							0.523																						7	7	7/07_S6446
S64RY	UXU6	07/07/2017 08:56	13							0.517	0.556	35.507	0.458	0.531	39.714	0.866	1.102	0.492	0.423	0.212	1.059	0.368	0.519	0.273	0.956	24.486	19.403	13.38	16.225	0.893	0.882	7	7	7/07_S64RY
S64RY	UXU6	07/07/2017 09:22	19							0.516	0.559	35.762		0.531	39.981			0.496	0.423	0.213		0.372	0.514	0.281				13.372	16.112	0.896	0.884	7	7	7/07_S64RY
S6634	UXU5	07/07/2017 13:27	1							0.52																						7	7	7/07_S6634
S6634	UXU5	07/07/2017 13:33	11							0.516																						7	7	7/07_S6634
S6634	UXU5	07/07/2017 13:39	12							0.528																						7	7	7/07_S6634
S6634	UXU5	07/07/2017 15:04	13							0.514	0.56	36.053	0.45	0.524	40.08	0.894	1.081	0.478	0.418	0.222	1.077	0.375	0.51	0.29	0.978	24.245	18.592	13.3	16.217	0.934	0.894	7	7	7/07_S6634
S6634	UXU5	07/07/2017 15:29	20							0.52	0.557	35.846		0.532	39.862			0.486	0.419	0.215		0.386	0.524	0.292				13.343	16.24	0.943	0.9	7	7	7/07_S6634
S6634	UXU5	07/07/2017 15:35	25							0.514																						7	7	7/07_S6634
S6106	UXU3	08/07/2017 05:48	13							0.511	0.546	36.06	0.49	0.558	40.451	0.902	1.068	0.481	0.422	0.21	1.056	0.4	0.533	0.28	0.961	24.705	18.896	13.413	16.31	0.907	0.878	8	7	7/08_S6106
S6106	UXU3	08/07/2017 07:10	14							0.512	0.545	35.89	0.484	0.554	40.602	0.888	1.06	0.476	0.411	0.209	1.055	0.379	0.52	0.285	0.974	24.28	18.652	13.281	16.071	0.908	0.871	8	7	7/08_S6106
S648G	UXU6	08/07/2017 01:26	13							0.517	0.548	35.909	0.465	0.532	40.391	0.862	1.05	0.472	0.411	0.214	1.054	0.392	0.528	0.27	0.959	24.221	19.606	13.379	16.139	0.892	0.862	8	7	7/08_S648G
S648G	UXU6	08/07/2017 01:53	14							0.512	0.55	35.807		0.53	40.282			0.491	0.42	0.219		0.391	0.52	0.279				13.438	16.169	0.895	0.861	8	7	7/08_S648G
S65FB	UXU6	08/07/2017 20:36	11							0.523	0.562	35.878		0.539	40.529			0.481	0.422	0.212		0.389	0.525	0.287				13.43	16.274	0.9	0.878	8	7	7/08_S65FB
S65FB	UXU6	08/07/2017 22:00	13							0.528	0.564	35.979	0.466	0.547	40.65	0.927	1.067	0.48	0.425	0.213	1.051	0.371	0.533	0.286	0.968	24.218	18.38	13.406	16.246	0.895	0.884	8	7	7/08_S65FB
S6665	UXU5	09/07/2017 08:10	9							0.516	0.542	35.534		0.54	39.932			0.486	0.416	0.209		0.384	0.519	0.279				13.321	16.211	0.929	0.887	9	7	7/09_S6665
S6665	UXU5	09/07/2017 09:34	13							0.511	0.543	35.331	0.457	0.534	39.739	0.928	1.06	0.491	0.411	0.208	1.045	0.389	0.507	0.282	0.97	24.3	19.259	13.334	16.262	0.926	0.883	9	7	7/09_S6665
S601V	UXU3	10/07/2017 17:37	13							0.513	0.546	35.868	0.474	0.544	40.525	0.897	1.065	0.498	0.422	0.208	1.066	0.398	0.519	0.288	0.969	25.148	18.629	13.392	16.344	0.885	0.877	10	7	7/10_S601V
S601V	UXU3	10/07/2017 18:02	16							0.524	0.551	35.893		0.551	40.625			0.506	0.429	0.207		0.419	0.534	0.287				13.397	16.228	0.887	0.881	10	7	7/10_S601V
S61T8	UXU3	10/07/2017 06:54	1							0.518	0.556	36.35		0.549	40.829			0.472	0.425	0.215		0.4	0.523	0.285				13.449	16.17	0.898	0.9	10	7	7/10_S61T8
S61T8	UXU3	10/07/2017 08:17	13							0.522	0.555	36.153	0.471	0.549	40.544	0.889	1.072	0.483	0.416	0.208	1.052	0.383	0.525	0.287	0.974	24.583	18.735	13.325	16.098	0.883	0.892	10	7	7/10_S61T8
S65XG	UXU5	10/07/2017 11:08	13							0.522	0.548	36.218	0.457	0.525	40.516	0.877	1.091	0.493	0.409	0.209	1.069	0.396	0.498	0.277	0.98	25.187	20.119	13.347	16.157	0.917	0.884	10	7	7/10_S65XG
S65XG	UXU5	10/07/2017 11:33	16							0.508	0.543	35.985		0.523	40.198			0.493	0.406	0.208		0.391	0.499	0.277				13.315	16.161	0.921	0.883	10	7	7/10_S65XG
S60K1	UXU3	11/07/2017 12:35	14							0.515	0.55	36.232	0.479	0.553	40.571	0.901	1.055	0.478	0.417	0.208	1.052	0.393	0.523	0.283	0.96	24.447	18.427	13.321	16.192	0.903	0.866	11	7	7/11_S60K1
S60K1	UXU3	11/07/2017 12:57	18	37.656	0.499	35.566	0.489	9.912	0.462	0.522	0.557	36.094		0.546	40.505			0.483	0.428	0.219		0.388	0.521	0.285				13.384	16.167	0.907	0.873	11	7	7/11_S60K1
S60K1	UXU3	11/07/2017 13:23	22							0.522	0.553	36.029		0.546	40.305			0.475	0.419	0.218		0.394	0.522	0.285				13.306	16.166	0.911	0.873	11	7	7/11_S60K1
S624T	UXU3	11/07/2017 04:17	13							0.521	0.551	35.985	0.481	0.549	40.477	0.892	1.07	0.48	0.419	0.213	1.078	0.423	0.534	0.288	0.981	25.095	18.914	13.345	16.093	0.886	0.897	11	7	7/11_S624T
S624T	UXU3	11/07/2017 05:44	25							0.513	0.548	35.762		0.537	40.316			0.51	0.434	0.208		0.418	0.534	0.287				13.544	16.391	0.9	0.9	11	7	7/11_S624T
S68A6	UXU5	11/07/2017 09:32	1							0.516	0.548	35.929		0.524	40.293			0.482	0.401	0.208	1.066	0.372	0.508	0.289	0.992			13.315	16.217	0.92	0.873	11	7	7/11_S68A6
S68A6	UXU5	11/07/2017 09:40	2							0.505	0.543	35.894		0.529	40.289			0.49	0.405	0.21	1.08	0.371	0.502	0.283	0.997			13.322	16.215	0.915	0.873	11	7	7/11_S68A6
S68A6	UXU5	11/07/2017 09:49	3							0.525	0.557	35.933		0.524	40.187			0.485	0.419	0.207	1.072	0.38	0.512	0.287	0.989			13.346	16.18	0.925	0.869	11	7	7/11_S68A6
S68A6	UXU5	11/07/2017 09:56	4							0.522	0.547	36.3		0.534	40.616			0.495	0.422	0.209	1.089	0.387	0.502	0.284	1.001			13.397	16.241	0.921	0.875	11	7	7/11_S68A6
S68A6	UXU5	11/07/2017 10:04	5							0.516	0.552	36.355		0.524	40.33			0.473	0.405	0.217	1.103	0.39	0.509	0.29	1			13.274	16.141	0.922	0.87	11	7	7/11_S68A6
S68A6	UXU5	11/07/2017 11:27	13							0.506	0.545	35.896	0.456	0.532	40.026	0.899	1.052	0.491	0.412	0.213	1.093	0.374	0.503	0.287	1.002	25.774	20.039	13.323	16.238	0.913	0.869	11	7	7/11_S68A6
S68A6	UXU5	11/07/2017 11:53	17							0.508	0.544	35.444		0.515	39.65			0.457	0.405	0.223		0.375	0.5	0.294				13.239	16.124	0.915	0.86	11	7	7/11_S68A6
S609U	UXU3	12/07/2017 14:06	1							0.521	0.546	36.076		0.534	40.503			0.475	0.414	0.206		0.402	0.516	0.275				13.208	16.181	0.893	0.875	12	7	7/12_S609U
S609U	UXU3	12/07/2017 15:30	13							0.52	0.548	36.075	0.469	0.537	40.806	0.87	1.04	0.481	0.418	0.207	1.071	0.4	0.516	0.276	0.971	25.369	19.815	13.293	16.266	0.893	0.878	12	7	7/12_S609U
S6105	UXU3	12/07/2017 21:47	13							0.513	0.546	35.714	0.475	0.546	40.033	0.884	1.044	0.499	0.418	0.21	1.074	0.409	0.525	0.285	0.99	25.43	19.621	13.345	16.109	0.899	0.873	12	7	7/12_S6105
S6105	UXU3	12/07/2017 22:12	14							0.515	0.549	35.417		0.543	39.92			0.505	0.426	0.205		0.407	0.53	0.283				13.374	16.169	0.9	0.867	12	7	7/12_S6105
S6146	UXU3	12/07/2017 11:16	13							0.513	0.544	36.39	0.492	0.563	40.932	0.876	1.086	0.498	0.419	0.202	1.04	0.397	0.537	0.283	0.959	24.395	18.237	13.354	16.124	0.896	0.889	12	7	7/12_S6146
S6146	UXU3	12/07/2017 11:41	23							0.503	0.544	36.148		0.553	40.449			0.482	0.42	0.211		0.399	0.528	0.28				13.417	16.31	0.901	0.89	12	7	7/12_S6146
S64X5	UXU6	12/07/2017 07:56	3							0.515	0.549	35.556		0.518	40.098			0.476	0.411	0.213		0.395	0.503	0.265				13.32	16.147	0.911	0.883	12	7	7/12_S64X5
S64X5	UXU6	12/07/2017 10:22	6							0.517	0.559	35.734		0.515	39.984			0.474	0.421	0.216		0.391	0.51	0.275				13.334	16.177	0.914	0.883	12	7	7/12_S64X5
S64X5	UXU6	12/07/2017 10:48	8							0.506	0.549	35.887		0.525	40.425			0.479	0.416	0.211		0.385	0.51	0.264				13.43	16.229	0.903	0.891	12	7	7/12_S64X5
S64X5	UXU6	12/07/2017 11:13	9							0.519	0.556	35.408		0.517	39.985			0.481	0.421	0.215		0.394	0.513	0.269				13.324	16.253	0.917	0.882	12	7	7/12_S64X5
S64X5	UXU6	12/07/2017 09:20	13							0.528	0.568	36.061	0.454	0.52	40.293	0.918	1.065	0.486	0.417	0.212	1.053	0.383	0.516	0.27	0.963	24.346	19.936	13.385	16.214	0.912	0.878	12	7	7/12_S64X5
S66BU	UXU5	12/07/2017 20:46	10							0.513	0.547	35.91		0.531	39.999			0.497	0.413	0.205		0.391	0.508	0.275				13.421	16.297	0.914	0.893	12	7	7/12_S66BU
S66BU	UXU5	12/07/2017 22:12	13							0.521	0.554	36.142	0.459	0.531	40.112	0.922	1.064	0.483	0.404	0.215	1.094	0.395	0.502	0.286	0.998	25.513	19.727	13.312	16.04	0.922	0.898	12	7	7/12_S66BU
S60W9	UXU3	13/07/2017 00:44	3							0.531		36.079			40.603			0.51		0.208	1.04	0.424		0.291	0.963			13.388	16.216			13	7	7/13_S60W9
S60W9	UXU3	13/07/2017 00:49	4							0.531		36.062			40.261			0.516		0.203	1.026	0.405		0.288	0.962			13.448	16.19			13	7	7/13_S60W9
S60W9	UXU3	13/07/2017 00:55	9							0.535		36.042			40.305			0.506		0.205	1.032	0.414		0.295	0.968			13.358	16.154			13	7	7/13_S60W9
S60W9	UXU3	13/07/2017 01:00	10							0.536		36.408			40.585			0.505		0.206	1.037	0.399		0.293	0.97			13.364	16.159			13	7	7/13_S60W9
S60W9	UXU3	13/07/2017 01:05	11							0.527		35.85			40.354			0.505		0.207	1.041	0.42		0.292	0.964			13.402	16.374			13	7	7/13_S60W9
S60W9	UXU3	13/07/2017 01:11	12							0.53		36.034			40.365			0.491		0.211	1.065	0.418		0.295	0.986			13.363	16.168			13	7	7/13_S60W9
S60W9	UXU3	13/07/2017 02:33	13							0.53	0.562	36.052	0.469	0.541	40.458	0.92	1.042	0.503	0.431	0.202	1.026	0.385	0.525	0.286	0.959	24.041	18.219	13.394	16.172	0.916	0.877	13	7	7/13_S60W9
S60W9	UXU3	13/07/2017 03:02	18							0.5365	0.561	35.869		0.536	40.3625			0.5	0.427	0.205	1.042	0.402	0.523	0.289	0.964			13.4055	16.1885	0.926	0.877	13	7	7/13_S60W9
